Trial,Subject,Color,Stimulus,Area of Interest,AOI Group,AOI Scope,AOI Order,AOI Size [px],AOI Coverage [%],Start Time [ms],End Time [ms],Entry Time [ms],Sequence,Net Dwell Time [ms],Dwell Time [ms],Glance Duration [ms],Diversion Duration [ms],First Fixation Duration [ms],Glances Count,Revisits,Fixation Count,Appearance Count,Visible Time [ms],Visible Time [%],Net Dwell Time [%],Dwell Time [%],Fixation Time [ms],Fixation Time [%],Time to First Mouse Click [ms]
Trial008,WQ,ForestGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1663,387.7,6667,947.9,1255.8,1255.8,1255.8,711.9,1,0,2,1,1663.6,100,57,75.5,1255.8,75.5,-
Trial048,WQ,ForestGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1359,-,-,56,0,28,28,0,0,-,0,1,1359.6,100,4.1,0,0,0,-
Trial008,cpl,Gainsboro,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1580,616.4,7886,979.9,963.9,991.9,991.9,963.9,1,0,1,1,1580.3,100,62,61,963.9,61,-
Trial048,cpl,Gainsboro,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1479,-,-,619.9,0,0,0,0,0,-,0,1,1479.1,100,41.9,0,0,0,-
Trial007,XW,Gold,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2197,1334,9522,1072.1,864,939.9,939.9,864,1,0,1,1,2197.9,100,48.8,39.3,864,39.3,-
Trial048,XW,Gold,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1978,-,-,0,0,0,0,0,0,-,0,1,1978.2,100,0,0,0,0,-
Trial007,LMF,Goldenrod,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1847,655.6,8032,744,523.8,523.8,551.8,523.8,1,0,1,1,1847.3,100,40.3,28.4,523.8,28.4,-
Trial049,LMF,Goldenrod,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2064,908.5,8857,216,239.9,283.9,319.8,239.9,1,0,1,1,2064.2,100,10.5,11.6,239.9,11.6,-
Trial009,GQ,Gray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2595,1284.1,9473,1323.4,1311.9,1359.9,1359.9,1311.9,1,0,1,1,2596,100,51,50.5,1311.9,50.5,-
Trial049,GQ,Gray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2094,-,-,0,0,0,0,0,0,-,0,1,2094.7,100,0,0,0,0,-
Trial007,QJ,Green,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1562,738.2,8301,872,824,884,884,364,1,0,2,1,1562.2,100,55.8,52.7,780,49.9,-
Trial047,QJ,Green,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2011,-,-,0,0,0,0,0,0,-,0,1,2011.8,100,0,0,0,0,-
Trial007,HM,GreenYellow,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1294,562.2,7601,567.9,731.9,731.9,731.9,731.9,1,0,1,1,1294.1,100,43.9,56.6,731.9,56.6,-
Trial048,HM,GreenYellow,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,913,-,-,104,0,0,0,0,0,-,0,1,913,100,11.4,0,0,0,-
Trial007,LYH,HotPink,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1994,790.8,8481,1219.9,1203.9,1247.9,1247.9,1203.9,1,0,1,1,1994.6,100,61.2,60.4,1203.9,60.4,-
Trial047,LYH,HotPink,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,946,-,-,0,0,0,0,0,0,-,0,1,946.8,100,0,0,0,0,-
Trial007,JN,IndianRed,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2345,1170,9325,1087.8,1175.8,1235.9,1235.9,771.8,1,0,3,1,2345.8,100,46.4,50.1,1087.8,46.4,-
Trial050,JN,IndianRed,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1347,1103.1,9221,207.9,147.9,203.9,243.9,147.9,1,0,1,1,1347,100,15.4,11,147.9,11,-
Trial007,SYJ,Indigo,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2597,1237.5,9424,1207.7,1359.9,1391.9,1391.9,1359.9,1,0,1,1,2597.4,100,46.5,52.4,1359.9,52.4,-
Trial047,SYJ,Indigo,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1594,-,-,0,0,0,0,0,0,-,0,1,1594,100,0,0,0,0,-
Trial007,CQ,Khaki,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1829,1237.8,9425,616.1,592.1,640.1,640.1,592.1,1,0,1,1,1829.9,100,33.7,32.4,592.1,32.4,-
Trial047,CQ,Khaki,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1377,-,-,0,0,0,0,0,0,-,0,1,1377.7,100,0,0,0,0,-
Trial007,WYQ,LawnGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1879,511.2,7341,368,420,420,460,420,1,0,1,1,1879.1,100,19.6,22.4,420,22.4,-
Trial047,WYQ,LawnGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1698,-,-,280.2,0,40,40,0,0,-,0,1,1698.3,100,16.5,0,0,0,-
Trial007,NLL,LightBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2744,645.2,7999,1167.5,900,1232.1,1331.8,95.9,2,1,4,1,2744.8,100,42.5,32.8,703.8,25.6,-
Trial047,NLL,LightBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1462,-,-,0,0,0,0,0,0,-,0,1,1462.5,100,0,0,0,0,-
Trial007,QXL,LightCoral,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1629,605.8,7840,623.9,1023.9,1023.9,1023.9,343.8,1,0,2,1,1629.7,100,38.3,62.8,991.9,60.9,-
Trial047,QXL,LightCoral,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1127,-,-,44,0,0,0,0,0,-,0,1,1127.4,100,3.9,0,0,0,-
Trial008,SLL,LightGray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2026,-,-,80.1,0,36,36,0,0,-,0,1,2026.5,100,4,0,0,0,-
Trial048,SLL,LightGray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1379,-,-,0,0,0,0,0,0,-,0,1,1379.8,100,0,0,0,0,-
Trial007,zjj,LightGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2176,-,-,615.9,0,44,44,0,0,-,0,1,2176.6,100,28.3,0,0,0,-
Trial048,zjj,LightGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,77,-,-,0,0,0,0,0,0,-,0,1,77.1,100,0,0,0,0,-
Trial007,YKX,LightPink,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1415,939.2,8933,496,476,508.1,508.1,476,1,0,1,1,1415.2,100,35,33.6,476,33.6,-
Trial048,YKX,LightPink,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1030,518.2,7376,407.9,511.9,555.9,555.9,511.9,1,0,1,1,1030.1,100,39.6,49.7,511.9,49.7,-
Trial007,ZY,LightSalmon,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1795,591.4,7763,839.9,1203.9,1235.8,1235.8,1203.9,1,0,1,1,1795.3,100,46.8,67.1,1203.9,67.1,-
Trial047,ZY,LightSalmon,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1177,-,-,0,0,0,0,0,0,-,0,1,1177.9,100,0,0,0,0,-
Trial007,WJJ,LightSeaGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2361,1349.3,9536,767.8,1011.8,1011.8,1011.8,1011.8,1,0,1,1,2361,100,32.5,42.9,1011.8,42.9,-
Trial047,WJJ,LightSeaGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1226,-,-,0,0,0,0,0,0,-,0,1,1226.6,100,0,0,0,0,-
Trial007,GTL,LightSkyBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1879,919.9,8886,959.9,959.9,1043.9,1043.9,348,1,0,3,1,1879.7,100,51.1,51.1,883.9,47,-
Trial047,GTL,LightSkyBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2014,826.2,8605,443.8,411.9,451.9,511.8,411.9,1,0,1,1,2014.1,100,22,20.5,411.9,20.5,-
Trial007,YMX,LightSlateGray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1867,639.9,7984,699.7,1227.8,1271.9,1271.9,1227.8,1,0,1,1,1867.6,100,37.5,65.7,1227.8,65.7,-
Trial047,YMX,LightSlateGray,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1897,-,-,0,0,0,0,0,0,-,0,1,1897.2,100,0,0,0,0,-
Trial007,ZRK,LightSteelBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1512,528.2,7418,319.5,375.9,375.9,412,375.9,1,0,1,1,1512.1,100,21.1,24.9,375.9,24.9,-
Trial047,ZRK,LightSteelBlue,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1227,-,-,0,0,0,0,0,0,-,0,1,1227.5,100,0,0,0,0,-
Trial007,RJN,Lime,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,3143,1112.2,9240,1463.9,1931.6,1931.6,2003.7,164,2,1,3,1,3143.9,100,46.6,61.4,1791.6,57,-
Trial047,RJN,Lime,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,4649,1593.5,9678,1467.7,1547.7,1547.7,1599.7,1283.7,1,0,2,1,4649.1,100,31.6,33.3,1507.7,32.4,-
Trial007,gyj,LimeGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1246,1098.6,9215,495.9,147.9,187.9,187.9,147.9,1,0,1,1,1246.5,100,39.8,11.9,147.9,11.9,-
Trial047,gyj,LimeGreen,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,1764,-,-,48,0,0,0,0,0,-,0,1,1764.6,100,2.7,0,0,0,-
Trial007,SDN,Magenta,1d1.jpg,AOI 001,,Local,3,10488,1.3,0,2110,1514.8,9647,635.9,595.9,699.8,699.8,595.9,1,0,1,1,2110.6,100,30.1,28.2,595.9,28.2,-
